observation_count,country,country_code,state,state_code,latitude,longitude,observation_date,year
0,Argentina,AR,Buenos Aires,AR-B,-34.7886166,-58.3512211,2017-09-18,2017
1,Argentina,AR,Buenos Aires,AR-B,-34.8695,-57.8865,2010-08-29,2010
2,Argentina,AR,Buenos Aires,AR-B,-34.777027,-58.1589174,2008-02-10,2008
1,Argentina,AR,Buenos Aires,AR-B,-34.7523323,-58.1923485,2012-11-24,2012
1,Argentina,AR,Buenos Aires,AR-B,-34.7484833,-58.1972801,2014-10-24,2014
1,Argentina,AR,Buenos Aires,AR-B,-34.7916677,-58.1679404,2016-12-27,2016
0,Argentina,AR,Buenos Aires,AR-B,-34.74563,-58.201007,2017-02-23,2017
1,Argentina,AR,Buenos Aires,AR-B,-34.7665762,-58.1734299,2017-12-25,2017
1,Argentina,AR,Buenos Aires,AR-B,-34.777027,-58.1589174,2018-02-19,2018
0,Argentina,AR,Buenos Aires,AR-B,-37.4666836,-61.9697142,2017-08-02,2017
0,Argentina,AR,Buenos Aires,AR-B,-35.932871,-57.867744,1999-12-10,1999
1,Argentina,AR,Buenos Aires,AR-B,-35.0547321,-58.7535095,2015-06-06,2015
3,Argentina,AR,Buenos Aires,AR-B,-36.2084528,-57.7499503,2015-02-01,2015
1,Argentina,AR,Buenos Aires,AR-B,-34.8108436,-58.5391474,2018-01-13,2018
1,Argentina,AR,Buenos Aires,AR-B,-34.8061667,-58.039,1988-01-16,1988
2,Argentina,AR,Buenos Aires,AR-B,-34.8061667,-58.039,2017-02-01,2017
0,Argentina,AR,Buenos Aires,AR-B,-34.8535,-58.2243333,2008-08-10,2008
1,Argentina,AR,Buenos Aires,AR-B,-34.8535,-58.2243333,2008-08-09,2008
1,Argentina,AR,Buenos Aires,AR-B,-37.9604744,-57.5375998,2015-05-03,2015
1,Argentina,AR,Buenos Aires,AR-B,-37.9331931,-57.580378,2016-11-29,2016
8,Argentina,AR,Buenos Aires,AR-B,-38.0553905,-57.5420952,2017-08-05,2017
4,Argentina,AR,Buenos Aires,AR-B,-37.967651,-57.607168,2017-09-20,2017
1,Argentina,AR,Buenos Aires,AR-B,-37.9393333,-57.7371667,2018-01-15,2018
1,Argentina,AR,Buenos Aires,AR-B,-34.577115,-58.6986047,2016-10-09,2016
1,Argentina,AR,Buenos Aires,AR-B,-34.9295382,-57.9903289,2005-12-31,2005
0,Argentina,AR,Buenos Aires,AR-B,-34.9295382,-57.9903289,2007-09-05,2007
0,Argentina,AR,Buenos Aires,AR-B,-34.9295382,-57.9903289,2007-09-29,2007
1,Argentina,AR,Buenos Aires,AR-B,-34.9588333,-57.9815,2010-11-20,2010
1,Argentina,AR,Buenos Aires,AR-B,-34.9295382,-57.9903289,2012-03-15,2012
3,Argentina,AR,Buenos Aires,AR-B,-34.9295382,-57.9903289,2012-10-15,2012
2,Argentina,AR,Buenos Aires,AR-B,-34.9277158,-57.9598761,2012-10-21,2012
0,Argentina,AR,Buenos Aires,AR-B,-34.9295382,-57.9903289,2012-11-15,2012
0,Argentina,AR,Buenos Aires,AR-B,-34.9295382,-57.9903289,2014-01-30,2014
2,Argentina,AR,Buenos Aires,AR-B,-34.9083333,-57.935,2014-06-22,2014
8,Argentina,AR,Buenos Aires,AR-B,-34.9096896,-57.9388314,2018-04-08,2018
1,Argentina,AR,Buenos Aires,AR-B,-36.3277112,-56.750865,2017-11-10,2017
1,Argentina,AR,Buenos Aires,AR-B,-34.657216,-58.5543823,2015-05-23,2015
1,Argentina,AR,Buenos Aires,AR-B,-34.657216,-58.5543823,2015-05-19,2015
2,Argentina,AR,Buenos Aires,AR-B,-34.7366047,-58.5579872,2016-07-10,2016
4,Argentina,AR,Buenos Aires,AR-B,-34.7149436,-58.5091227,2017-01-17,2017
0,Argentina,AR,Buenos Aires,AR-B,-38.1645254,-58.7820911,2015-10-12,2015
1,Argentina,AR,Buenos Aires,AR-B,-38.1626358,-58.7672424,2017-11-13,2017
1,Argentina,AR,Buenos Aires,AR-B,-34.7307921,-58.3865297,2015-05-12,2015
3,Argentina,AR,Buenos Aires,AR-B,-34.9275223,-57.9607498,2008-11-25,2008
4,Argentina,AR,Buenos Aires,AR-B,-34.9275223,-57.9607498,2008-11-18,2008
1,Argentina,AR,Buenos Aires,AR-B,-34.9298299,-57.9754905,2017-09-13,2017
3,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1991-10-20,1991
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1991-11-16,1991
30,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-01-05,1992
80,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-03-29,1992
25,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-04-12,1992
40,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-08-23,1992
12,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-08-09,1992
7,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-09-07,1992
4,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,1992-10-25,1992
50,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-10-12,1992
3,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-10-25,1992
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-10-10,1992
40,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-10-18,1992
2,Argentina,AR,Buenos Aires,AR-B,-37.8456809,-57.5048215,1992-11-27,1992
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-11-21,1992
1,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,1992-12-06,1992
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-12-25,1992
15,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-01-16,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-05-16,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-05-23,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-05-30,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-06-13,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-06-06,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-06-27,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-07-10,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-08-28,1993
